"Name","Runtime","n_hidden_layers","n_hidden_state_variables","n_hidden_time_steps","n_input_time_steps","model","activation","epochs","training_time","n_trainable_parameters","RMSE","NRMSE","R2"
"fast-sweep-5","56","5","4","64","256","FP","gelu","106","39.22009204281494","105206","0.17571808397769928","0.05080711841583252","0.9974186367330964"
"colorful-sweep-2","73","5","1","64","512","FMLP","gelu","112","53.38978050928563","67889","0.17750586569309235","0.051498789340257645","0.9973478743403444"
"exalted-sweep-6","55","5","4","128","256","FP","gelu","102","37.334037808235735","373622","0.1787051260471344","0.05167078971862793","0.9973301291222652"
"polished-sweep-9","56","5","1","128","1024","MLP","gelu","147","39.76557310298085","213889","0.2015364170074463","0.058435481041669846","0.9965852944893714"
"noble-sweep-8","57","5","1","64","1024","MLP","gelu","135","35.681276097893715","86465","0.2087789922952652","0.06053546443581581","0.996335457608444"
"ruby-sweep-3","70","5","1","128","1024","FMLP","gelu","110","51.75049566011876","268881","0.2148342132568359","0.06229117885231972","0.9961198096465969"
"stoic-sweep-2","67","5","1","64","1024","FMLP","gelu","109","51.064025771804154","109105","0.22464635968208313","0.06513620913028717","0.9957572748762832"
"zesty-sweep-5","81","5","4","64","1024","FMLP","gelu","129","63.978854120709","747511","0.27286773920059204","0.07911799848079681","0.9937403431187448"
"graceful-sweep-6","55","5","4","128","512","FP","gelu","107","38.6747367978096","406902","0.2815910875797272","0.08169645816087723","0.9933256890465446"
"rose-sweep-5","57","5","4","64","512","FP","gelu","111","40.59363828599453","122102","0.28434738516807556","0.08249612152576447","0.993194389246368"
"polar-sweep-2","62","5","1","64","1024","FP","gelu","135","46.771699375938624","22640","0.292594313621521","0.08483771979808807","0.992802562081462"
"sparkling-sweep-2","69","5","1","64","512","FP","gelu","149","52.26231631124392","14192","0.3002412021160126","0.08710730820894241","0.9924123161089669"
"sparkling-sweep-6","60","5","4","128","1024","FP","gelu","116","43.453111057169735","473462","0.32684746384620667","0.0947694182395935","0.9910187576244266"
"rare-sweep-3","62","5","1","128","1024","FP","gelu","113","39.25380633212626","54992","0.404295027256012","0.11722533404827118","0.9862582203975686"
"swift-sweep-5","66","5","4","64","1024","FP","gelu","136","50.47167586395517","155894","0.480408251285553","0.139294371008873","0.9805970808910668"
"eager-sweep-6","76","5","4","128","512","FMLP","gelu","","","","","",""
"youthful-sweep-3","60","5","1","128","512","FP","gelu","","","","","",""
