"Name","Runtime","n_hidden_layers","n_hidden_state_variables","n_hidden_time_steps","n_input_time_steps","model","activation","n_output_time_steps","epochs","training_time","n_trainable_parameters","RMSE","NRMSE","R2"
"dandy-sweep-35","28824","5","4","64","32","FP","gelu","1","","","","","",""
"clean-sweep-33","28819","5","4","16","32","FP","gelu","1","","","","","",""
"smooth-sweep-1","0","5","1","4","64","FMLP","gelu","1","","","","","",""
"polished-sweep-3","14417","5","1","32","128","FMLP","gelu","1","","","","","",""
"curious-sweep-30","28819","5","1","128","32","FP","gelu","1","","","","","",""
"celestial-sweep-11","28816","5","4","64","32","FMLP","gelu","1","","","","","",""
"worthy-sweep-15","28823","5","6","16","32","FMLP","gelu","1","","","","","",""
"bright-sweep-22","28816","5","8","32","32","FMLP","gelu","1","","","","","",""
"sweet-sweep-38","28816","5","6","8","32","FP","gelu","1","","","","","",""
"northern-sweep-26","28818","5","1","8","32","FP","gelu","1","","","","","",""
"faithful-sweep-8","28816","5","4","8","32","FMLP","gelu","1","","","","","",""
"vibrant-sweep-4","28818","5","1","32","32","FMLP","gelu","1","","","","","",""
"devoted-sweep-19","28820","5","8","4","32","FMLP","gelu","1","","","","","",""
"glamorous-sweep-20","28817","5","8","8","32","FMLP","gelu","1","","","","","",""
"deft-sweep-13","28823","5","6","4","32","FMLP","gelu","1","","","","","",""
"still-sweep-3","14416","5","1","32","1024","FMLP","gelu","1","","","","","",""
"skilled-sweep-1","14419","5","1","4","512","FMLP","gelu","1","","","","","",""
"snowy-sweep-27","28818","5","1","16","32","FP","gelu","1","","","","","",""
"swift-sweep-2","14417","5","1","16","128","FMLP","gelu","1","","","","","",""
"stilted-sweep-5","14416","5","4","4","256","FMLP","gelu","1","","","","","",""
"clean-sweep-1","16","5","4","16","512","FMLP","gelu","1","","","","","",""
"amber-sweep-5","28817","5","1","64","32","FMLP","gelu","1","","","","","",""
"leafy-sweep-7","28818","5","4","4","32","FMLP","gelu","1","","","","","",""
"polished-sweep-1","14420","5","1","4","1024","FMLP","gelu","1","","","","","",""
"fine-sweep-45","15919","5","8","16","32","FP","gelu","1","","","","","",""
"deep-sweep-16","14405","5","6","32","32","FMLP","gelu","1","","","","","",""
"robust-sweep-9","14418","5","8","4","1024","FMLP","gelu","1","","","","","",""
"fluent-sweep-34","28817","5","4","32","32","FP","gelu","1","","","","","",""
"resilient-sweep-39","28819","5","6","16","32","FP","gelu","1","","","","","",""
"cool-sweep-21","28817","5","8","16","32","FMLP","gelu","1","","","","","",""
"gallant-sweep-29","28819","5","1","64","32","FP","gelu","1","","","","","",""
